ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1150/1180,1150,S,S,32 MA,4000,10
1150/1180,1150,S,S,32 MA,4001,3
1150/1180,1150,S,S,32 MA,4003,10
1150/1180,1150,S,S,32 MA,8001,1
1150/1180,1150,S,S,32 MA,8003,1
1150/1180,1150,S,S,32 MA,8006,1
1150/1180,1150,S,S,32 MA,8053,1
1150/1180,1150,S,S,32 MA,8104,1
1150/1180,1150,S,S,32 MA,8150,11
1150/1180,1150,S,S,32 MA,8151,7
1150/1180,1150,S,S,32 MA,8153,8
1150/1180,1150,S,S,32 MA,8155,4
1150/1180,1150,S,S,32 MA,8156,5
1150/1180,1150,S,S,32 MA,8251,8
1150/1180,1150,S,S,32 MA,8253,1
1150/1180,1150,S,S,32 MA,8254,2
1150/1180,1150,S,S,32 MA,8255,7
1150/1180,1150,S,S,32 MA,8256,4
1150/1180,1150,S,S,32 MA,8257,2
1150/1180,1150,S,S,32 MA,8258,1
1150/1180,1150,S,S,32 MA,8300,8
1150/1180,1150,S,S,32 MA,8305,1
1150/1180,1150,S,S,32 MA,8351,1
1150/1180,1150,S,S,32 MA,8352,1
1150/1180,1150,S,S,32 MA,8353,1
1150/1180,1150,S,S,32 MA,400024,1
1150/1180,1150,S,S,32 MA,400031,5
1150/1180,1150,S,S,32 MA,400061,1
1150/1180,1150,S,S,32 MA,400063,1
1150/1180,1150,S,S,32 MA,400311,4
1150/1180,1150,S,S,18 FT,8004,1
1150/1180,1150,S,S,18 FT,8005,1
1150/1180,1150,S,S,18 FT,8051,1
1150/1180,1150,S,S,18 FT,8052,3
1150/1180,1150,S,S,18 FT,8053,1
1150/1180,1150,S,S,18 FT,8054,1
1150/1180,1150,S,S,18 FT,8055,2
1150/1180,1150,S,S,18 FT,8102,2
1150/1180,1150,S,S,18 FT,8103,2
1150/1180,1150,S,S,18 FT,8105,1
1150/1180,1150,S,S,18 FT,8106,2
1150/1180,1150,S,S,18 FT,8107,1
1150/1180,1150,S,S,18 FT,8156,1
1150/1180,1150,S,S,18 FT,8251,1
1150/1180,1150,S,S,18 FT,8252,10
1150/1180,1150,S,S,18 FT,8256,1
1150/1180,1150,S,S,18 FT,8257,1
1150/1180,1150,S,S,18 FT,8261,1
1150/1180,1150,S,S,18 FT,8301,2
1150/1180,1150,S,S,18 FT,8302,1
1150/1180,1150,S,S,18 FT,8303,1
1150/1180,1150,S,S,18 FT,8304,2
1150/1180,1150,S,S,18 FT,8306,1
1150/1180,1150,S,S,18 FT,8311,2
1150/1180,1150,S,S,18 FT,8313,1
1150/1180,1150,S,S,18 FT,8354,2
1150/1180,1150,S,S,18 FT,8355,1
1150/1180,1150,S,S,18 FT,8356,1
1150/1180,1150,S,S,18 FT,400078,1
1150/1180,1150,E3,E3,32 MA,4002,7
1150/1180,1150,E3,E3,32 MA,6200,4
1150/1180,1150,E3,E3,32 MA,6202,1
1150/1180,1150,E3,E3,32 MA,6203,1
1150/1180,1150,E3,E3,32 MA,6204,1
1150/1180,1150,E3,E3,32 MA,6205,1
1150/1180,1150,E3,E3,32 MA,6207,1
1150/1180,1150,E3,E3,32 MA,400035,5
1150/1180,1150,N4,N4,32 MA,5002,1
1150/1180,1150,N4,N4,32 MA,5054,2
1150/1180,1150,N4,N4,32 MA,5151,1
1150/1180,1150,N4,N4,32 MA,5152,2
1150/1180,1150,N4,N4,32 MA,5155,1
1150/1180,1150,N4,N4,32 MA,5201,1
1150/1180,1150,N4,N4,32 MA,5202,1
1150/1180,1150,N4,N4,32 MA,5203,2
1150/1180,1150,N4,N4,32 MA,5206,1
1150/1180,1150,N4,N4,32 MA,104932,3
1150/1180,1150,N4,N4,32 MA,400020,1
1150/1180,1150,N4,N4,32 MA,400021,7
1150/1180,1150,N4,N4,32 MA,400057,3
1150/1180,1150,N4,N4,32 MA,400058,1
1150/1180,1150,N4,N4,32 MA,400059,2
1150/1180,1150,N4,N4,32 MA,400126,1
1150/1180,1150,N4,N4,32 MA,400286,6
1150/1180,1150,N4,N4,32 MA,400335,2
1150/1180,1150,N4,N4,32 SA,400057,1
1150/1180,1150,N6,N6,32 SA,5040,2
1150/1180,1150,N6,N6,32 SA,5120,1
1150/1180,1150,N6,N6,32 MA,5040,5
1150/1180,1150,N6,N6,32 MA,5051,3
1150/1180,1150,N6,N6,32 MA,5104,1
1150/1180,1150,N6,N6,32 MA,5106,1
1150/1180,1150,N6,N6,32 MA,5120,4
1150/1180,1150,N5,N5,32 MA,5050,8
1150/1180,1150,N5,N5,32 MA,5055,1
1150/1180,1150,N5,N5,32 MA,5061,1
1150/1180,1150,N5,N5,32 MA,5251,2
1150/1180,1150,N5,N5,32 MA,5301,1
1150/1180,1150,N5,N5,32 MA,5305,2
1150/1180,1150,N5,N5,32 MA,5306,1
1150/1180,1150,N5,N5,32 MA,400011,1
1150/1180,1150,N5,N5,32 SA,5050,1
1150/1180,1150,N5,N5,32 SA,5306,1
1150/1180,1150,N5,N5,18 FT,5303,1
1150/1180,1150,E4,E4,32 MA,6000,4
1150/1180,1150,E4,E4,32 MA,6001,1
1150/1180,1150,E4,E4,32 MA,6003,1
1150/1180,1150,E4,E4,32 MA,6004,2
1150/1180,1150,E4,E4,32 MA,6011,1
1150/1180,1150,E4,E4,32 MA,6012,1
1150/1180,1150,E4,E4,32 MA,6013,2
1150/1180,1150,E4,E4,32 MA,6053,3
1150/1180,1150,E4,E4,32 MA,6102,5
1150/1180,1150,E4,E4,32 MA,6103,2
1150/1180,1150,E4,E4,32 MA,6104,1
1150/1180,1150,E4,E4,32 MA,400062,1
1150/1180,1150,E4,E4,32 MA,400307,1
1150/1180,1150,E4,E4,18 FT,6012,1
1150/1180,1150,E4,E4,18 FT,6103,1
1150/1180,1150,W3,W3_1,32 MA,7000,4
1150/1180,1150,W3,W3_1,32 MA,7001,2
1150/1180,1150,W3,W3_1,32 MA,7002,2
1150/1180,1150,W3,W3_1,32 MA,7003,1
1150/1180,1150,W3,W3_1,32 MA,7004,1
1150/1180,1150,W3,W3_1,32 MA,7051,2
1150/1180,1150,W3,W3_1,32 MA,7054,1
1150/1180,1150,W3,W3_1,32 MA,400350,2
1150/1180,1150,W3,W3,32 MA,7102,4
1150/1180,1150,W3,W3,32 MA,7103,2
1150/1180,1150,W3,W3,32 MA,7105,2
1150/1180,1150,W3,W3,32 MA,7150,4
1150/1180,1150,W3,W3,32 MA,7151,1
1150/1180,1150,W3,W3,32 MA,7152,6
1150/1180,1150,W3,W3,32 MA,7153,2
1150/1180,1150,W3,W3,32 MA,7154,1
1150/1180,1150,W3,W3,32 MA,7157,1
1150/1180,1150,W3,W3,32 MA,7161,1
1150/1180,1150,W3,W3,32 MA,400034,1
1150/1180,1150,W3,W3,32 MA,400038,3
1150/1180,1150,W3,W3,32 MA,400075,2
1150/1180,1150,W3,W3,32 MA,400191,1
1150/1180,1150,W3,W3,32 MA,400329,3
1150/1180,1150,W4,W4,32 MA,7250,4
1150/1180,1150,W4,W4,32 MA,7251,3
1150/1180,1150,W4,W4,32 MA,7252,2
1150/1180,1150,W4,W4,32 MA,7254,2
1150/1180,1150,W4,W4,32 MA,7301,2
1150/1180,1150,W4,W4,32 MA,7302,3
1150/1180,1150,W4,W4,32 MA,104687,2
1150/1180,1150,W4,W4,32 MA,400066,1
1150/1180,1150,W4,W4,32 MA,400295,2
1150/1180,1180,S,S,32 MA,4000,1
1150/1180,1180,S,S,32 MA,8001,1
1150/1180,1180,S,S,32 MA,8150,3
1150/1180,1180,S,S,32 MA,8300,6
1150/1180,1180,S,S,32 MA,400074,1
1150/1180,1180,S,S,32 MA,400171,2
1150/1180,1180,S,S,18 FT,8002,1
1150/1180,1180,S,S,18 FT,8003,1
1150/1180,1180,S,S,18 FT,8052,1
1150/1180,1180,S,S,18 FT,8053,1
1150/1180,1180,S,S,18 FT,8102,1
1150/1180,1180,S,S,18 FT,8103,1
1150/1180,1180,S,S,18 FT,8104,1
1150/1180,1180,S,S,18 FT,8151,1
1150/1180,1180,S,S,18 FT,8153,1
1150/1180,1180,S,S,18 FT,8156,1
1150/1180,1180,S,S,18 FT,8251,1
1150/1180,1180,S,S,18 FT,8252,1
1150/1180,1180,S,S,18 FT,8255,1
1150/1180,1180,S,S,18 FT,8256,1
1150/1180,1180,S,S,18 FT,8302,1
1150/1180,1180,E3,E3,32 MA,4002,1
1150/1180,1180,E3,E3,32 MA,6200,3
1150/1180,1180,N4,N4,32 MA,5001,1
1150/1180,1180,N4,N4,32 MA,400021,2
1150/1180,1180,N4,N4,32 MA,400286,5
1150/1180,1180,N4,N4,32 MA,400304,2
1150/1180,1180,N4,N4,32 SA,400076,15
1150/1180,1180,N4,N4,32 SA,400211,26
1150/1180,1180,N5,N5,32 MA,5050,6
1150/1180,1180,E4,E4,32 MA,6000,2
1150/1180,1180,E4,E4,32 MA,6053,1
1150/1180,1180,E4,E4,32 MA,6102,1
1150/1180,1180,E4,E4,18 FT,6103,1
1150/1180,1180,W3,W3,32 MA,7102,2
1150/1180,1180,W3,W3,32 MA,7150,4
1150/1180,1180,W3,W3,32 MA,7151,1
1150/1180,1180,W3,W3,32 MA,7152,2
1150/1180,1180,W3,W3_1,32 MA,7000,4
1150/1180,1180,N6,N6,32 SA,400314,5
1150/1180,1180,N6,N6,32 MA,5040,4
1150/1180,1180,N6,N6,32 MA,5120,4
1150/1180,1180,W4,W4,32 MA,7250,2
1150/1180,1180,W4,W4,32 MA,7302,1

