Plant,Cluster,SubCluster,Destination,TruckType,DemandTruckFinal,ClubPlant
1150,S,S,4000,32 MA,11,1150/1180
1150,S,S,4001,32 MA,4,1150/1180
1150,S,S,4003,32 MA,6,1150/1180
1150,N4,N4,5001,32 MA,1,1150/1180
1150,N4,N4,5002,32 MA,2,1150/1180
1150,N4,N4,5004,32 MA,1,1150/1180
1150,N4,N4,5006,32 MA,0,1150/1180
1150,N6,N6,5040,32 MA,0,1150/1180
1150,N5,N5,5050,32 MA,1,1150/1180
1150,N5,N5,5050,32 SA,0,1150/1180
1150,N6,N6,5051,32 MA,1,1150/1180
1150,N6,N6,5051,32 SA,0,1150/1180
1150,N5,N5,5052,32 MA,0,1150/1180
1150,N5,N5,5052,32 SA,0,1150/1180
1150,N5,N5,5053,32 MA,1,1150/1180
1150,N4,N4,5054,32 MA,1,1150/1180
1150,N4,N4,5054,32 SA,0,1150/1180
1150,N5,N5,5055,32 MA,0,1150/1180
1150,N5,N5,5061,32 MA,1,1150/1180
1150,N4,N4,5071,32 MA,0,1150/1180
1150,N4,N4,5071,32 SA,0,1150/1180
1150,N6,N6,5101,32 MA,1,1150/1180
1150,N6,N6,5102,32 MA,0,1150/1180
1150,N6,N6,5103,32 MA,0,1150/1180
1150,N6,N6,5104,32 MA,0,1150/1180
1150,N6,N6,5105,32 MA,0,1150/1180
1150,N6,N6,5106,32 MA,0,1150/1180
1150,N6,N6,5106,32 SA,1,1150/1180
1150,N6,N6,5107,32 MA,1,1150/1180
1150,N6,N6,5107,32 SA,0,1150/1180
1150,N6,N6,5108,32 MA,0,1150/1180
1150,N6,N6,5109,32 MA,0,1150/1180
1150,N6,N6,5111,32 MA,0,1150/1180
1150,N6,N6,5112,32 MA,0,1150/1180
1150,N6,N6,5112,32 SA,0,1150/1180
1150,N6,N6,5114,32 MA,0,1150/1180
1150,N6,N6,5114,32 SA,0,1150/1180
1150,N4,N4_1,5115,32 MA,0,1150/1180
1150,N4,N4_1,5115,32 SA,0,1150/1180
1150,N6,N6,5116,32 MA,0,1150/1180
1150,N6,N6,5120,32 MA,0,1150/1180
1150,N6,N6,5120,32 SA,0,1150/1180
1150,N4,N4_1,5151,32 MA,1,1150/1180
1150,N4,N4_1,5151,32 SA,0,1150/1180
1150,N4,N4_1,5152,32 MA,2,1150/1180
1150,N4,N4_1,5153,32 MA,1,1150/1180
1150,N4,N4_1,5153,32 SA,0,1150/1180
1150,N4,N4_1,5155,32 MA,1,1150/1180
1150,N4,N4_1,5155,32 SA,0,1150/1180
1150,W4,W4,5156,32 MA,0,1150/1180
1150,W4,W4,5156,32 SA,0,1150/1180
1150,N4,N4_1,5157,32 MA,0,1150/1180
1150,N4,N4_1,5201,32 MA,2,1150/1180
1150,N4,N4_1,5201,32 SA,0,1150/1180
1150,N4,N4_1,5202,32 MA,0,1150/1180
1150,N4,N4_1,5202,32 SA,0,1150/1180
1150,N4,N4_1,5203,32 MA,1,1150/1180
1150,N4,N4_1,5203,32 SA,0,1150/1180
1150,N4,N4_1,5206,32 MA,1,1150/1180
1150,N4,N4_1,5206,32 SA,0,1150/1180
1150,N5,N5,5251,32 MA,2,1150/1180
1150,N5,N5,5252,32 MA,0,1150/1180
1150,N5,N5,5252,32 SA,0,1150/1180
1150,N5,N5,5301,32 MA,2,1150/1180
1150,N5,N5,5303,18 FT,1,1150/1180
1150,N5,N5,5305,32 MA,1,1150/1180
1150,N5,N5,5306,32 MA,0,1150/1180
1150,N5,N5,5307,32 MA,0,1150/1180
1150,N5,N5,5309,32 MA,0,1150/1180
1150,E4,E4,6000,32 MA,2,1150/1180
1150,E4,E4,6001,32 MA,3,1150/1180
1150,E4,E4,6003,32 MA,2,1150/1180
1150,E4,E4,6003,32 SA,0,1150/1180
1150,E4,E4,6004,32 MA,2,1150/1180
1150,E4,E4,6011,32 MA,1,1150/1180
1150,E4,E4,6011,32 SA,0,1150/1180
1150,E4,E4,6012,18 FT,2,1150/1180
1150,E4,E4,6012,32 SA,0,1150/1180
1150,E4,E4,6013,32 MA,2,1150/1180
1150,E4,E4,6053,32 MA,3,1150/1180
1150,E4,E4,6053,32 SA,0,1150/1180
1150,E4,E4,6102,32 MA,3,1150/1180
1150,E4,E4,6103,18 FT,2,1150/1180
1150,E4,E4,6104,32 MA,1,1150/1180
1150,E4,E4,6105,32 MA,0,1150/1180
1150,E4,E4,6105,32 SA,0,1150/1180
1150,E3,E3,6200,32 MA,0,1150/1180
1150,E3,E3,6201,32 MA,1,1150/1180
1150,E3,E3,6201,32 SA,0,1150/1180
1150,E3,E3,6202,32 MA,2,1150/1180
1150,E3,E3,6203,32 MA,2,1150/1180
1150,E3,E3,6203,32 SA,0,1150/1180
1150,E3,E3,6204,32 MA,1,1150/1180
1150,E3,E3,6204,32 SA,0,1150/1180
1150,E3,E3,6205,32 MA,2,1150/1180
1150,E3,E3,6205,32 SA,0,1150/1180
1150,E3,E3,6206,32 MA,0,1150/1180
1150,E3,E3,6207,32 MA,3,1150/1180
1150,W3,W3_1,7000,32 MA,0,1150/1180
1150,W3,W3_1,7000,32 SA,0,1150/1180
1150,W3,W3_1,7001,32 MA,2,1150/1180
1150,W3,W3_1,7001,32 SA,0,1150/1180
1150,W3,W3_1,7002,32 MA,2,1150/1180
1150,W3,W3_1,7003,32 MA,1,1150/1180
1150,W3,W3_1,7003,32 SA,0,1150/1180
1150,W3,W3_1,7004,32 MA,0,1150/1180
1150,W3,W3_1,7004,32 SA,0,1150/1180
1150,W3,W3_1,7051,32 MA,3,1150/1180
1150,W3,W3_1,7051,32 SA,0,1150/1180
1150,W3,W3_1,7052,32 MA,0,1150/1180
1150,W3,W3_1,7052,32 SA,0,1150/1180
1150,W3,W3_1,7053,32 MA,0,1150/1180
1150,W3,W3_1,7053,32 SA,0,1150/1180
1150,W3,W3_1,7054,32 MA,1,1150/1180
1150,W3,W3_1,7054,32 SA,0,1150/1180
1150,W3,W3,7102,32 MA,2,1150/1180
1150,W3,W3,7102,32 SA,0,1150/1180
1150,W3,W3,7103,32 MA,2,1150/1180
1150,W3,W3,7103,32 SA,0,1150/1180
1150,S,S,7104,32 MA,0,1150/1180
1150,W3,W3,7105,32 MA,3,1150/1180
1150,W3,W3,7105,32 SA,0,1150/1180
1150,W3,W3,7150,32 MA,1,1150/1180
1150,W3,W3,7150,32 SA,0,1150/1180
1150,W3,W3,7151,32 MA,2,1150/1180
1150,W3,W3,7151,32 SA,0,1150/1180
1150,W3,W3,7152,32 MA,5,1150/1180
1150,W3,W3,7152,32 SA,0,1150/1180
1150,W3,W3,7153,32 MA,2,1150/1180
1150,W3,W3,7153,32 SA,0,1150/1180
1150,W3,W3,7154,32 MA,1,1150/1180
1150,W3,W3,7154,32 SA,0,1150/1180
1150,W3,W3,7155,32 MA,1,1150/1180
1150,W3,W3,7155,32 SA,0,1150/1180
1150,W3,W3,7157,32 MA,1,1150/1180
1150,W3,W3,7157,32 SA,0,1150/1180
1150,W3,W3,7161,32 MA,1,1150/1180
1150,W3,W3,7161,32 SA,0,1150/1180
1150,W4,W4,7250,32 MA,1,1150/1180
1150,W4,W4,7250,32 SA,0,1150/1180
1150,W4,W4,7251,32 MA,3,1150/1180
1150,W4,W4,7251,32 SA,0,1150/1180
1150,W4,W4,7252,32 MA,2,1150/1180
1150,W4,W4,7253,32 MA,1,1150/1180
1150,W4,W4,7254,32 MA,2,1150/1180
1150,W4,W4,7254,32 SA,0,1150/1180
1150,W4,W4,7301,32 MA,2,1150/1180
1150,W4,W4,7301,32 SA,0,1150/1180
1150,W4,W4,7302,32 MA,2,1150/1180
1150,W4,W4,7302,32 SA,1,1150/1180
1150,W4,W4,7304,32 MA,1,1150/1180
1150,S,S,8001,32 MA,1,1150/1180
1150,S,S,8001,32 SA,0,1150/1180
1150,S,S,8002,32 MA,0,1150/1180
1150,S,S,8003,32 MA,1,1150/1180
1150,S,S,8003,32 SA,0,1150/1180
1150,S,S,8004,32 MA,0,1150/1180
1150,S,S,8004,32 SA,0,1150/1180
1150,S,S,8005,32 MA,0,1150/1180
1150,S,S,8005,32 SA,0,1150/1180
1150,S,S,8006,32 MA,0,1150/1180
1150,S,S,8006,32 SA,0,1150/1180
1150,S,S,8051,32 MA,0,1150/1180
1150,S,S,8051,32 SA,0,1150/1180
1150,S,S,8052,18 FT,1,1150/1180
1150,S,S,8052,32 SA,1,1150/1180
1150,S,S,8053,32 MA,0,1150/1180
1150,S,S,8053,32 SA,0,1150/1180
1150,S,S,8054,32 MA,0,1150/1180
1150,S,S,8054,32 SA,0,1150/1180
1150,S,S,8055,32 MA,0,1150/1180
1150,S,S,8102,18 FT,3,1150/1180
1150,S,S,8103,18 FT,2,1150/1180
1150,S,S,8104,32 MA,1,1150/1180
1150,S,S,8105,32 MA,1,1150/1180
1150,S,S,8106,18 FT,2,1150/1180
1150,S,S,8107,32 MA,0,1150/1180
1150,S,S,8150,32 MA,6,1150/1180
1150,S,S,8150,32 SA,1,1150/1180
1150,S,S,8151,32 MA,6,1150/1180
1150,S,S,8151,32 SA,0,1150/1180
1150,S,S,8153,32 MA,7,1150/1180
1150,S,S,8153,32 SA,0,1150/1180
1150,S,S,8155,32 MA,4,1150/1180
1150,S,S,8155,32 SA,0,1150/1180
1150,S,S,8156,32 MA,7,1150/1180
1150,S,S,8156,32 SA,0,1150/1180
1150,S,S,8251,32 MA,6,1150/1180
1150,S,S,8251,32 SA,0,1150/1180
1150,S,S,8252,18 FT,6,1150/1180
1150,S,S,8252,32 SA,0,1150/1180
1150,S,S,8253,32 MA,0,1150/1180
1150,S,S,8253,32 SA,0,1150/1180
1150,S,S,8254,32 MA,2,1150/1180
1150,S,S,8254,32 SA,0,1150/1180
1150,S,S,8255,32 MA,5,1150/1180
1150,S,S,8255,32 SA,1,1150/1180
1150,S,S,8256,32 MA,1,1150/1180
1150,S,S,8256,32 SA,1,1150/1180
1150,S,S,8257,32 MA,3,1150/1180
1150,S,S,8257,32 SA,0,1150/1180
1150,S,S,8258,32 MA,2,1150/1180
1150,S,S,8258,32 SA,0,1150/1180
1150,S,S,8261,32 MA,1,1150/1180
1150,S,S,8261,32 SA,0,1150/1180
1150,S,S,8300,32 MA,1,1150/1180
1150,S,S,8300,32 SA,0,1150/1180
1150,S,S,8301,18 FT,0,1150/1180
1150,S,S,8301,32 SA,0,1150/1180
1150,S,S,8302,18 FT,1,1150/1180
1150,S,S,8303,32 MA,1,1150/1180
1150,S,S,8303,32 SA,0,1150/1180
1150,S,S,8304,18 FT,1,1150/1180
1150,S,S,8305,32 MA,1,1150/1180
1150,S,S,8306,18 FT,1,1150/1180
1150,S,S,8306,32 SA,0,1150/1180
1150,S,S,8311,18 FT,2,1150/1180
1150,S,S,8311,32 SA,0,1150/1180
1150,S,S,8312,32 MA,0,1150/1180
1150,S,S,8312,32 SA,0,1150/1180
1150,S,S,8313,32 MA,0,1150/1180
1150,S,S,8315,32 MA,0,1150/1180
1150,S,S,8351,32 MA,1,1150/1180
1150,S,S,8352,32 MA,1,1150/1180
1150,S,S,8353,32 MA,0,1150/1180
1150,S,S,8353,32 SA,0,1150/1180
1150,S,S,8354,18 FT,2,1150/1180
1150,S,S,8354,32 SA,0,1150/1180
1150,S,S,8355,32 MA,0,1150/1180
1150,S,S,8356,32 MA,0,1150/1180
1150,S,S,8356,32 SA,0,1150/1180
1150,W4,W4,104687,32 MA,1,1150/1180
1150,N4,N4,104932,32 MA,1,1150/1180
1150,W3,W3,400003,32 MA,2,1150/1180
1150,N4,N4,400020,32 MA,1,1150/1180
1150,N4,N4,400021,32 MA,5,1150/1180
1150,S,S,400024,32 SA,1,1150/1180
1150,N6,N6,400025,32 MA,3,1150/1180
1150,N6,N6,400025,32 SA,1,1150/1180
1150,S,S,400031,32 MA,5,1150/1180
1150,W3,W3,400034,32 MA,1,1150/1180
1150,E3,E3,400035,32 MA,3,1150/1180
1150,W3,W3,400038,32 MA,3,1150/1180
1150,N5,N5,400044,32 SA,1,1150/1180
1150,S,S,400047,32 SA,1,1150/1180
1150,N4,N4,400057,32 SA,1,1150/1180
1150,N4,N4,400057,32 MA,2,1150/1180
1150,N4,N4,400058,32 MA,5,1150/1180
1150,N4,N4,400059,32 MA,2,1150/1180
1150,S,S,400060,32 MA,1,1150/1180
1150,S,S,400061,32 MA,1,1150/1180
1150,S,S,400063,32 SA,1,1150/1180
1150,S,S,400068,18 FT,3,1150/1180
1150,W3,W3,400075,32 MA,1,1150/1180
1150,N6,N6,400083,32 SA,1,1150/1180
1150,N4,N4,400286,32 MA,3,1150/1180
1150,N4,N4,400293,32 MA,1,1150/1180
1150,W4,W4,400295,32 MA,2,1150/1180
1150,N4,N4,400308,32 MA,1,1150/1180
1150,S,S,400310,32 MA,1,1150/1180
1150,S,S,400310,32 SA,1,1150/1180
1150,S,S,400311,32 MA,1,1150/1180
1150,S,S,400327,32 SA,3,1150/1180
1150,W3,W3,400329,32 SA,3,1150/1180
1150,N4,N4,400335,32 MA,1,1150/1180
1150,S,S,400348,32 SA,1,1150/1180
1150,S,S,400348,32 MA,1,1150/1180
1150,W3,W3_1,400350,32 MA,1,1150/1180
1180,S,S,4000,32 MA,1,1150/1180
1180,N4,N4,5001,32 MA,0,1150/1180
1180,N4,N4,5002,32 MA,0,1150/1180
1180,N4,N4,5004,32 MA,0,1150/1180
1180,N4,N4,5006,32 MA,0,1150/1180
1180,N6,N6,5040,32 MA,0,1150/1180
1180,N5,N5,5050,32 MA,0,1150/1180
1180,N6,N6,5051,32 MA,0,1150/1180
1180,N5,N5,5052,32 MA,0,1150/1180
1180,N5,N5,5053,32 MA,0,1150/1180
1180,N4,N4,5054,32 MA,0,1150/1180
1180,N5,N5,5055,32 MA,1,1150/1180
1180,N5,N5,5061,32 MA,0,1150/1180
1180,N4,N4,5071,32 MA,0,1150/1180
1180,N6,N6,5101,32 MA,0,1150/1180
1180,N6,N6,5102,32 MA,0,1150/1180
1180,N6,N6,5103,32 MA,0,1150/1180
1180,N6,N6,5104,32 MA,0,1150/1180
1180,N6,N6,5105,32 MA,0,1150/1180
1180,N6,N6,5106,32 MA,0,1150/1180
1180,N6,N6,5107,32 MA,0,1150/1180
1180,N6,N6,5108,32 MA,0,1150/1180
1180,N6,N6,5109,32 MA,0,1150/1180
1180,N6,N6,5111,32 MA,0,1150/1180
1180,N6,N6,5112,32 MA,0,1150/1180
1180,N6,N6,5114,32 MA,0,1150/1180
1180,N4,N4_1,5115,32 MA,0,1150/1180
1180,N6,N6,5116,32 MA,0,1150/1180
1180,N6,N6,5120,32 MA,0,1150/1180
1180,N4,N4_1,5151,32 MA,0,1150/1180
1180,N4,N4_1,5152,32 MA,0,1150/1180
1180,N4,N4_1,5153,32 MA,0,1150/1180
1180,N4,N4_1,5155,32 MA,0,1150/1180
1180,W4,W4,5156,32 MA,0,1150/1180
1180,N4,N4_1,5157,32 MA,0,1150/1180
1180,N4,N4_1,5201,32 MA,0,1150/1180
1180,N4,N4_1,5202,32 MA,0,1150/1180
1180,N4,N4_1,5203,32 MA,0,1150/1180
1180,N4,N4_1,5206,32 MA,0,1150/1180
1180,N5,N5,5251,32 MA,0,1150/1180
1180,N5,N5,5252,32 MA,0,1150/1180
1180,N5,N5,5301,32 MA,1,1150/1180
1180,N5,N5,5303,18 FT,1,1150/1180
1180,N5,N5,5305,32 MA,0,1150/1180
1180,N5,N5,5306,32 MA,0,1150/1180
1180,N5,N5,5307,32 MA,0,1150/1180
1180,N5,N5,5309,32 MA,0,1150/1180
1180,E4,E4,6000,32 MA,0,1150/1180
1180,E4,E4,6001,32 MA,0,1150/1180
1180,E4,E4,6003,32 MA,0,1150/1180
1180,E4,E4,6004,32 MA,0,1150/1180
1180,E4,E4,6011,32 MA,0,1150/1180
1180,E4,E4,6012,18 FT,0,1150/1180
1180,E4,E4,6013,32 MA,0,1150/1180
1180,E4,E4,6053,32 MA,0,1150/1180
1180,E4,E4,6102,32 MA,1,1150/1180
1180,E4,E4,6103,18 FT,1,1150/1180
1180,E4,E4,6104,32 MA,0,1150/1180
1180,E4,E4,6105,32 MA,0,1150/1180
1180,E3,E3,6200,32 MA,0,1150/1180
1180,E3,E3,6201,32 MA,0,1150/1180
1180,E3,E3,6202,32 MA,0,1150/1180
1180,E3,E3,6203,32 MA,0,1150/1180
1180,E3,E3,6204,32 MA,0,1150/1180
1180,E3,E3,6205,32 MA,0,1150/1180
1180,E3,E3,6206,32 MA,0,1150/1180
1180,E3,E3,6207,32 MA,0,1150/1180
1180,W3,W3_1,7000,32 MA,0,1150/1180
1180,W3,W3_1,7001,32 MA,1,1150/1180
1180,W3,W3_1,7002,32 MA,0,1150/1180
1180,W3,W3_1,7003,32 MA,0,1150/1180
1180,W3,W3_1,7004,32 MA,0,1150/1180
1180,W3,W3_1,7051,32 MA,0,1150/1180
1180,W3,W3_1,7052,32 MA,0,1150/1180
1180,W3,W3_1,7053,32 MA,0,1150/1180
1180,W3,W3_1,7054,32 MA,0,1150/1180
1180,W3,W3,7102,32 MA,1,1150/1180
1180,W3,W3,7103,32 MA,0,1150/1180
1180,S,S,7104,32 MA,0,1150/1180
1180,W3,W3,7105,32 MA,0,1150/1180
1180,W3,W3,7106,32 MA,0,1150/1180
1180,W3,W3,7150,32 MA,0,1150/1180
1180,W3,W3,7151,32 MA,1,1150/1180
1180,W3,W3,7152,32 MA,1,1150/1180
1180,W3,W3,7153,32 MA,0,1150/1180
1180,W3,W3,7154,32 MA,0,1150/1180
1180,W3,W3,7155,32 MA,0,1150/1180
1180,W3,W3,7157,32 MA,0,1150/1180
1180,W3,W3,7158,32 MA,0,1150/1180
1180,W3,W3,7161,32 MA,0,1150/1180
1180,W4,W4,7250,32 MA,0,1150/1180
1180,W4,W4,7251,32 MA,1,1150/1180
1180,W4,W4,7252,32 MA,0,1150/1180
1180,W4,W4,7253,32 MA,0,1150/1180
1180,W4,W4,7254,32 MA,0,1150/1180
1180,W4,W4,7301,32 MA,0,1150/1180
1180,W4,W4,7302,32 MA,1,1150/1180
1180,W4,W4,7304,32 MA,0,1150/1180
1180,S,S,8001,32 MA,0,1150/1180
1180,S,S,8002,32 MA,0,1150/1180
1180,S,S,8003,32 MA,0,1150/1180
1180,S,S,8004,32 MA,0,1150/1180
1180,S,S,8005,32 MA,0,1150/1180
1180,S,S,8006,32 MA,0,1150/1180
1180,S,S,8051,32 MA,0,1150/1180
1180,S,S,8052,18 FT,1,1150/1180
1180,S,S,8053,32 MA,0,1150/1180
1180,S,S,8054,32 MA,0,1150/1180
1180,S,S,8055,32 MA,0,1150/1180
1180,S,S,8102,18 FT,1,1150/1180
1180,S,S,8103,18 FT,1,1150/1180
1180,S,S,8104,32 MA,0,1150/1180
1180,S,S,8105,32 MA,0,1150/1180
1180,S,S,8106,18 FT,1,1150/1180
1180,S,S,8107,32 MA,0,1150/1180
1180,S,S,8150,32 MA,0,1150/1180
1180,S,S,8151,32 MA,0,1150/1180
1180,S,S,8153,32 MA,0,1150/1180
1180,S,S,8155,32 MA,0,1150/1180
1180,S,S,8156,32 MA,0,1150/1180
1180,S,S,8251,32 MA,0,1150/1180
1180,S,S,8252,18 FT,0,1150/1180
1180,S,S,8253,32 MA,0,1150/1180
1180,S,S,8254,32 MA,0,1150/1180
1180,S,S,8255,32 MA,0,1150/1180
1180,S,S,8256,32 MA,0,1150/1180
1180,S,S,8257,32 MA,0,1150/1180
1180,S,S,8258,32 MA,0,1150/1180
1180,S,S,8261,32 MA,0,1150/1180
1180,S,S,8300,32 MA,0,1150/1180
1180,S,S,8301,18 FT,0,1150/1180
1180,S,S,8302,18 FT,0,1150/1180
1180,S,S,8303,32 MA,0,1150/1180
1180,S,S,8304,18 FT,0,1150/1180
1180,S,S,8305,32 MA,0,1150/1180
1180,S,S,8306,18 FT,0,1150/1180
1180,S,S,8311,18 FT,0,1150/1180
1180,S,S,8312,32 MA,0,1150/1180
1180,S,S,8313,32 MA,0,1150/1180
1180,S,S,8315,32 MA,0,1150/1180
1180,S,S,8351,32 MA,0,1150/1180
1180,S,S,8352,32 MA,0,1150/1180
1180,S,S,8353,32 MA,0,1150/1180
1180,S,S,8354,18 FT,0,1150/1180
1180,S,S,8355,32 MA,0,1150/1180
1180,S,S,8356,32 MA,0,1150/1180
1180,N5,N5,400011,32 SA,2,1150/1180
1180,N4,N4,400021,32 MA,1,1150/1180
1180,S,S,400074,32 SA,2,1150/1180
1180,N4,N4,400076,32 SA,9,1150/1180
1180,N4,N4,400211,32 SA,24,1150/1180
1180,N4,N4,400286,32 MA,6,1150/1180
1180,N4,N4,400304,32 MA,2,1150/1180
1180,N6,N6,400314,32 SA,5,1150/1180

