Plant,Cluster,SubCluster,TruckType,PercShare
1110,N1,N1,32 MA,20
1110,N2,N2,32 MA,23
1110,N3,N3,32 MA,15
1110,W1,W1,32 MA,20
1110,W2,W2,32 MA,7
1110,E1,E1,32 MA,18
1110,E2,E2,32 MA,30
1110,S1,S1,32 MA,5
1110,S1,S1,18 FT,95
1110,S1,S1_1,32 MA,10
1110,S1,S1_1,18 FT,45
1110,S1,S1_2,18 FT,120
1110,S2,S2,18 FT,30
1110,S2,S2_1,32 MA,30
1110,S3,S3,18 FT,40
1110,S3,S3,32 MA,5
1120,S4,S4,32 MA,24
1120,S4,S4_1,18 FT,78
1120,S4,S4_2,32 MA,9
1120,S4,S4_2,18 FT,99
1120,N7,N7,32 MA,93
1120,N7,N7,32 SA,89
1120,N7,N7_1,32 MA,11
1120,N7,N7_1,32 SA,4
1120,W5,W5,32 MA,51
1120,W5,W5,32 SA,60
1120,E5,E5,32 MA,30
1130,N8,N8,32 MA,94
1130,N8,N8_1,32 MA,50
1130,N9,N9,32 MA,181
1130,W6,W6,32 MA,192
1130,E6,E6,32 MA,98
1130,S5,S5,32 MA,10
1130,S5,S5,18 FT,25
1130,S5,S5_1,18 FT,138
1130,S5,S5_1,32 MA,57
1130,S5,S5_2,18 FT,48
1140,N1,N1,32 MA,80
1140,N1,N1_1,32 MA,21
1140,N2,N2,32 MA,40
1140,N3,N3,32 MA,40
1140,N3,N3,32 SA,33
1140,W1,W1,32 MA,105
1140,W1,W1,32 SA,5
1140,W2,W2,32 MA,30
1140,E1,E1,32 MA,18
1140,E2,E2,32 MA,38
1140,S1,S1,18 FT,72
1140,S1,S1,32 MA,5
1140,S1,S1_1,32 MA,30
1140,S1,S1_1,18 FT,72
1140,S1,S1_2,32 MA,30
1140,S1,S1_2,18 FT,36
1140,S2,S2,32 MA,21
1140,S2,S2,18 FT,102
1140,S3,S3,32 MA,11
1140,S3,S3,18 FT,76
1160,N1,N1,32 MA,68
1160,N1,N1,32 SA,15
1160,N1,N1_1,32 MA,46
1160,N2,N2,32 MA,78
1160,N3,N3,32 MA,42
1160,W1,W1,32 MA,85
1160,W1,W1,32 SA,15
1160,W2,W2,32 MA,30
1160,E1,E1,32 MA,38
1160,E2,E2,32 MA,38
1160,S1,S1,18 FT,30
1160,S1,S1_1,18 FT,63
1160,S1,S1_1,32 MA,9
1160,S1,S1_2,32 MA,12
1160,S1,S1_2,18 FT,27
1160,S2,S2,18 FT,60
1160,S2,S2,32 MA,3
1160,S2,S2_1,18 FT,15
1160,S3,S3,32 MA,18
1160,S3,S3,18 FT,12
1160,S3,S3_1,18 FT,12
1150/1180,N4,N4,32 MA,160
1150/1180,N4,N4,32 SA,50
1150/1180,N4,N4_1,32 MA,40
1150/1180,N5,N5,32 MA,125
1150/1180,N5,N5,32 SA,20
1150/1180,N6,N6,32 MA,110
1150/1180,N6,N6,32 SA,20
1150/1180,W3,W3,32 MA,98
1150/1180,W3,W3_1,32 MA,40
1150/1180,W4,W4,32 MA,85
1150/1180,E3,E3,32 MA,107
1150/1180,E4,E4,32 MA,122
1150/1180,S6,S6,18 FT,102
1150/1180,S6,S6,32 MA,78
1150/1180,S6,S6_1,18 FT,102
1150/1180,S7,S7,32 MA,36
1150/1180,S7,S7,18 FT,48
1150/1180,S7,S7_1,18 FT,30
1150/1180,S7,S7_1,32 MA,9
1150/1180,S8,S8,32 MA,87
1150/1180,S8,S8,18 FT,84
1170/1190,N1,N1,32 MA,93
1170/1190,N1,N1_1,32 MA,76
1170/1190,N2,N2,32 MA,45
1170/1190,N3,N3,32 MA,41
1170/1190,W1,W1,32 MA,75
1170/1190,W2,W2,32 MA,30
1170/1190,E1,E1,32 MA,73
1170/1190,E2,E2,32 MA,35
1170/1190,S1,S1,18 FT,93
1170/1190,S1,S1_1,32 MA,30
1170/1190,S1,S1_1,18 FT,57
1170/1190,S2,S2,18 FT,27
1170/1190,S2,S2,32 MA,24
1170/1190,S2,S2_1,18 FT,42
1170/1190,S2,S2_1,32 MA,6
1170/1190,S3,S3,32 MA,24
1170/1190,S3,S3,18 FT,6

key
1190_
1180_
1170_
1160_
1150_
1140_
1130_
1120_
1110_

key
APML - N1 - N1 - 32 MA
DRS - N1 - N1 - 32 MA
EAST INDIA - N1 - N1 - 32 MA
APML - N2 - N2 - 32 MA
DRS - N2 - N2 - 32 MA
APML - N3 - N3 - 32 MA
DRS - N3 - N3 - 32 MA
APML - W1 - W1 - 32 MA
EAST INDIA - W1 - W1 - 32 MA
MEGA - W1 - W1 - 32 MA
RCI - W2 - W2 - 32 MA
ANAND - E1 - E1 - 32 MA
DGFC - E1 - E1 - 32 MA
ANAND - E2 - E2 - 32 MA
KAPOOR - E2 - E2 - 32 MA
CHINNA - S1 - S1 - 32 MA
GBL - S1 - S1 - 18 FT
KTC - S1 - S1 - 18 FT
MEGA - S1 - S1 - 18 FT
CHINNA - S1 - S1_1 - 32 MA
GBL - S1 - S1_1 - 18 FT
ILAN - S1 - S1_1 - 18 FT
DEVAKI - S1 - S1_2 - 18 FT
CHINNA - S1 - S1_2 - 18 FT
GBL - S2 - S2 - 18 FT
KTC - S2 - S2 - 18 FT
MEGA - S2 - S2 - 18 FT
ANAND - S2 - S2_1 - 32 MA
EXPRESS - S2 - S2_1 - 32 MA
MEGA - S2 - S2_1 - 32 MA
RCI - S3 - S3 - 18 FT
EXPRESS - S3 - S3 - 32 MA
MEGA - S4 - S4 - 32 MA
EXPRESS - S4 - S4 - 32 MA
EAST INDIA - S4 - S4_1 - 18 FT
KTC - S4 - S4_1 - 18 FT
VARUNA - S4 - S4_1 - 18 FT
ANAND - S4 - S4_2 - 32 MA
EAST INDIA - S4 - S4_2 - 18 FT
EXPRESS - S4 - S4_2 - 32 MA
KTC - S4 - S4_2 - 18 FT
MEGA - S4 - S4_2 - 18 FT
RCI - S4 - S4_2 - 18 FT
VARUNA - S4 - S4_2 - 18 FT
DGFC - N7 - N7 - 32 MA
DRS - N7 - N7 - 32 MA
EAST INDIA - N7 - N7 - 32 MA
LGB - N7 - N7 - 32 MA
MAHAVEERA - N7 - N7 - 32 MA
RCI - N7 - N7 - 32 MA
SWASTIK - N7 - N7 - 32 MA
VARUNA - N7 - N7 - 32 MA
DRS - N7 - N7_1 - 32 MA
LGB - N7 - N7_1 - 32 MA
RCI - N7 - N7_1 - 32 MA
SWASTIK - N7 - N7_1 - 32 MA
VARUNA - N7 - N7_1 - 32 MA
EAST INDIA - N7 - N7 - 32 SA
LGB - N7 - N7 - 32 SA
NSTCL - N7 - N7 - 32 SA
RCI - N7 - N7 - 32 SA
VARUNA - N7 - N7 - 32 SA
VARUNA - N7 - N7_1 - 32 SA
EAST INDIA - N7 - N7_1 - 32 SA
DGFC - W5 - W5 - 32 MA
EXPRESS - W5 - W5 - 32 MA
MEGA - W5 - W5 - 32 MA
RCI - W5 - W5 - 32 MA
SWASTIK - W5 - W5 - 32 MA
LGB - W5 - W5 - 32 SA
NSTCL - W5 - W5 - 32 SA
DGFC - E5 - E5 - 32 MA
KAPOOR - E5 - E5 - 32 MA
KTC - E5 - E5 - 32 MA
AVG - N8 - N8 - 32 MA
CORE - N8 - N8 - 32 MA
DRS - N8 - N8 - 32 MA
INDOARYA - N8 - N8 - 32 MA
LGB - N8 - N8 - 32 MA
RCI - N8 - N8 - 32 MA
SHREE SHYAM - N8 - N8 - 32 MA
SHRINIWASA - N8 - N8 - 32 MA
SWASTIK - N8 - N8 - 32 MA
VIKAS - N8 - N8 - 32 MA
AVG - N8 - N8_1 - 32 MA
CORE - N8 - N8_1 - 32 MA
INDOARYA - N8 - N8_1 - 32 MA
LGB - N8 - N8_1 - 32 MA
RCI - N8 - N8_1 - 32 MA
SHREE SHYAM - N8 - N8_1 - 32 MA
SHRINIWASA - N8 - N8_1 - 32 MA
SWASTIK - N8 - N8_1 - 32 MA
VIKAS - N8 - N8_1 - 32 MA
AVG - N9 - N9 - 32 MA
BLR - N9 - N9 - 32 MA
CORE - N9 - N9 - 32 MA
DRS - N9 - N9 - 32 MA
EAST INDIA - N9 - N9 - 32 MA
EXPRESS - N9 - N9 - 32 MA
INDOARYA - N9 - N9 - 32 MA
LGB - N9 - N9 - 32 MA
MAHAVEERA - N9 - N9 - 32 MA
RCI - N9 - N9 - 32 MA
SHREE SHYAM - N9 - N9 - 32 MA
SHRINIWASA - N9 - N9 - 32 MA
BLR - W6 - W6 - 32 MA
DGFC - W6 - W6 - 32 MA
EAST INDIA - W6 - W6 - 32 MA
EXPRESS - W6 - W6 - 32 MA
INDOARYA - W6 - W6 - 32 MA
LGB - W6 - W6 - 32 MA
MAHAVEERA - W6 - W6 - 32 MA
RCI - W6 - W6 - 32 MA
SWASTIK - W6 - W6 - 32 MA
ANAND - E6 - E6 - 32 MA
KAPOOR - E6 - E6 - 32 MA
NCS - E6 - E6 - 32 MA
EXPRESS - S5 - S5 - 32 MA
KTC - S5 - S5 - 18 FT
ANAND - S5 - S5 - 18 FT
VARUNA - S5 - S5 - 18 FT
DGFC - S5 - S5_1 - 18 FT
EAST INDIA - S5 - S5_1 - 18 FT
EXPRESS - S5 - S5_1 - 32 MA
ILAN - S5 - S5_1 - 32 MA
KTC - S5 - S5_1 - 18 FT
MAHAVEERA - S5 - S5_1 - 32 MA
MEGA - S5 - S5_1 - 18 FT
RCI - S5 - S5_1 - 32 MA
VARUNA - S5 - S5_1 - 18 FT
KTC - S5 - S5_2 - 18 FT
MEGA - S5 - S5_2 - 18 FT
VARUNA - S5 - S5_2 - 18 FT
APML - N1 - N1 - 32 MA
DRS - N1 - N1 - 32 MA
EAST INDIA - N1 - N1 - 32 MA
LGB - N1 - N1 - 32 MA
MAHAVEERA - N1 - N1 - 32 MA
RCI - N1 - N1 - 32 MA
VARUNA - N1 - N1 - 32 MA
EAST INDIA - N1 - N1_1 - 32 MA
RCI - N1 - N1_1 - 32 MA
SWASTIK - N1 - N1_1 - 32 MA
VARUNA - N1 - N1_1 - 32 MA
APML - N2 - N2 - 32 MA
DRS - N2 - N2 - 32 MA
LGB - N2 - N2 - 32 MA
RCI - N2 - N2 - 32 MA
VARUNA - N2 - N2 - 32 MA
APML - N3 - N3 - 32 MA
DRS - N3 - N3 - 32 MA
LGB - N3 - N3 - 32 MA
RCI - N3 - N3 - 32 MA
VARUNA - N3 - N3 - 32 MA
LGB - N3 - N3 - 32 SA
MAHAVEERA - N3 - N3 - 32 SA
APML - W1 - W1 - 32 MA
EAST INDIA - W1 - W1 - 32 MA
EXPRESS - W1 - W1 - 32 MA
MEGA - W1 - W1 - 32 MA
RCI - W1 - W1 - 32 MA
SWASTIK - W1 - W1 - 32 MA
LGB - W1 - W1 - 32 SA
APML - W2 - W2 - 32 MA
RCI - W2 - W2 - 32 MA
SWASTIK - W2 - W2 - 32 MA
DGFC - E1 - E1 - 32 MA
KAPOOR - E1 - E1 - 32 MA
ANAND - E2 - E2 - 32 MA
NCS - E2 - E2 - 32 MA
RCI - E2 - E2 - 32 MA
VARUNA - E2 - E2 - 32 MA
INDOARYA - S1 - S1 - 18 FT
KTC - S1 - S1 - 18 FT
MEGA - S1 - S1 - 18 FT
SWASTIK - S1 - S1 - 18 FT
COSMO - S1 - S1 - 32 MA
CHINNA - S1 - S1_1 - 32 MA
CHINNA - S1 - S1_1 - 18 FT
ILAN - S1 - S1_1 - 18 FT
CHINNA - S1 - S1_2 - 32 MA
CHINNA - S1 - S1_2 - 18 FT
ILAN - S1 - S1_2 - 18 FT
EXPRESS - S2 - S2 - 32 MA
INDOARYA - S2 - S2 - 18 FT
KTC - S2 - S2 - 18 FT
MEGA - S2 - S2 - 18 FT
MEGA - S2 - S2 - 32 MA
SWASTIK - S2 - S2 - 18 FT
EXPRESS - S3 - S3 - 32 MA
INDOARYA - S3 - S3 - 18 FT
KTC - S3 - S3 - 18 FT
MEGA - S3 - S3 - 18 FT
SWASTIK - S3 - S3 - 18 FT
COSMO - S3 - S3 - 32 MA
EXPRESS - N4 - N4 - 32 MA
COSMO - N4 - N4_1 - 32 MA
DBRC - N4 - N4_1 - 32 MA
EXPRESS - N4 - N4_1 - 32 MA
LGB - N4 - N4_1 - 32 MA
RCI - N4 - N4_1 - 32 MA
VARUNA - N4 - N4_1 - 32 MA
LGB - N4 - N4 - 32 SA
RCI - N4 - N4 - 32 SA
VARUNA - N4 - N4 - 32 SA
LGB - N5 - N5 - 32 SA
RCI - N5 - N5 - 32 SA
VARUNA - N5 - N5 - 32 SA
LGB - N6 - N6 - 32 SA
RCI - N6 - N6 - 32 SA
VARUNA - N6 - N6 - 32 SA
EAST INDIA - W3 - W3 - 32 MA
EXPRESS - W3 - W3 - 32 MA
APML - W3 - W3_1 - 32 MA
DGFC - W3 - W3_1 - 32 MA
EAST INDIA - W3 - W3_1 - 32 MA
EXPRESS - W3 - W3_1 - 32 MA
MEGA - W3 - W3_1 - 32 MA
RCI - W3 - W3_1 - 32 MA
SWASTIK - W3 - W3_1 - 32 MA
TRUE FREIGHT - W4 - W4 - 32 MA
ANAND - E3 - E3 - 32 MA
TRIMURTHI - E3 - E3 - 32 MA
ANAND - E4 - E4 - 32 MA
KTC - S6 - S6 - 18 FT
EXPRESS - S6 - S6 - 32 MA
COSMO - S6 - S6 - 32 MA
RCI - S6 - S6 - 18 FT
KTC - S6 - S6_1 - 18 FT
MEGA - S6 - S6_1 - 18 FT
RCI - S6 - S6_1 - 18 FT
EXPRESS - S7 - S7 - 32 MA
GBL - S7 - S7 - 32 MA
KTC - S7 - S7 - 18 FT
VARUNA - S7 - S7 - 32 MA
KTC - S7 - S7_1 - 18 FT
MEGA - S7 - S7_1 - 32 MA
ANAND - S8 - S8 - 32 MA
EXPRESS - S8 - S8 - 32 MA
GBL - S8 - S8 - 18 FT
KTC - S8 - S8 - 18 FT
LGB - S8 - S8 - 32 MA
MEGA - S8 - S8 - 32 MA
RCI - S8 - S8 - 32 MA
VARUNA - S8 - S8 - 32 MA
DBRC - N1 - N1 - 32 MA
EAST INDIA - N1 - N1 - 32 MA
KAPOOR - N1 - N1 - 32 MA
LGB - N1 - N1 - 32 MA
MAHAVEERA - N1 - N1 - 32 MA
RCI - N1 - N1 - 32 MA
VARUNA - N1 - N1 - 32 MA
VIKAS - N1 - N1 - 32 MA
DBRC - N1 - N1_1 - 32 MA
EAST INDIA - N1 - N1_1 - 32 MA
KAPOOR - N1 - N1_1 - 32 MA
LGB - N1 - N1_1 - 32 MA
MAHAVEERA - N1 - N1_1 - 32 MA
RCI - N1 - N1_1 - 32 MA
SWASTIK - N1 - N1_1 - 32 MA
VARUNA - N1 - N1_1 - 32 MA
VIKAS - N1 - N1_1 - 32 MA
NSTCL - N1 - N1 - 32 SA
APML - N2 - N2 - 32 MA
DBRC - N2 - N2 - 32 MA
DRS - N2 - N2 - 32 MA
LGB - N2 - N2 - 32 MA
RCI - N2 - N2 - 32 MA
VARUNA - N2 - N2 - 32 MA
VIKAS - N2 - N2 - 32 MA
DBRC - N3 - N3 - 32 MA
DRS - N3 - N3 - 32 MA
LGB - N3 - N3 - 32 MA
VIKAS - N3 - N3 - 32 MA
COSMO - W1 - W1 - 32 MA
DGFC - W1 - W1 - 32 MA
EAST INDIA - W1 - W1 - 32 MA
MAHAVEERA - W1 - W1 - 32 MA
MEGA - W1 - W1 - 32 MA
RCI - W1 - W1 - 32 MA
LGB - W1 - W1 - 32 SA
RCI - W2 - W2 - 32 MA
SWASTIK - W2 - W2 - 32 MA
TRUE FREIGHT - W2 - W2 - 32 MA
ANAND - E1 - E1 - 32 MA
DGFC - E1 - E1 - 32 MA
EAST INDIA - E1 - E1 - 32 MA
TRIMURTHI - E1 - E1 - 32 MA
ANAND - E2 - E2 - 32 MA
EAST INDIA - E2 - E2 - 32 MA
KAPOOR - E2 - E2 - 32 MA
ILAN - S1 - S1 - 18 FT
KTC - S1 - S1 - 18 FT
MAHAVEERA - S1 - S1 - 18 FT
MEGA - S1 - S1 - 18 FT
APML - S1 - S1_1 - 18 FT
CHINNA - S1 - S1_1 - 18 FT
GBL - S1 - S1_1 - 18 FT
ILAN - S1 - S1_1 - 18 FT
LGB - S1 - S1_1 - 32 MA
MAHAVEERA - S1 - S1_1 - 32 MA
MEGA - S1 - S1_1 - 18 FT
SWASTIK - S1 - S1_1 - 18 FT
MAHAVEERA - S1 - S1_2 - 32 MA
CHINNA - S1 - S1_2 - 18 FT
ILAN - S1 - S1_2 - 18 FT
LGB - S1 - S1_2 - 32 MA
SWASTIK - S1 - S1_2 - 18 FT
MAHAVEERA - S2 - S2 - 18 FT
MAHAVEERA - S2 - S2 - 32 MA
MEGA - S2 - S2 - 18 FT
MEGA - S2 - S2_1 - 18 FT
KTC - S2 - S2_1 - 18 FT
ANAND - S3 - S3 - 32 MA
EXPRESS - S3 - S3 - 32 MA
MAHAVEERA - S3 - S3 - 18 FT
MEGA - S3 - S3 - 18 FT
MEGA - S3 - S3 - 32 MA
MAHAVEERA - S3 - S3_1 - 18 FT
AVG - N1 - N1 - 32 MA
COSMO - N1 - N1 - 32 MA
DBRC - N1 - N1 - 32 MA
EAST INDIA - N1 - N1 - 32 MA
LGB - N1 - N1 - 32 MA
RCI - N1 - N1 - 32 MA
VARUNA - N1 - N1 - 32 MA
AVG - N1 - N1_1 - 32 MA
COSMO - N1 - N1_1 - 32 MA
DBRC - N1 - N1_1 - 32 MA
EAST INDIA - N1 - N1_1 - 32 MA
LGB - N1 - N1_1 - 32 MA
RCI - N1 - N1_1 - 32 MA
SWASTIK - N1 - N1_1 - 32 MA
VARUNA - N1 - N1_1 - 32 MA
DBRC - N2 - N2 - 32 MA
DRS - N2 - N2 - 32 MA
RCI - N2 - N2 - 32 MA
VARUNA - N2 - N2 - 32 MA
DBRC - N3 - N3 - 32 MA
DRS - N3 - N3 - 32 MA
LGB - N3 - N3 - 32 MA
RCI - N3 - N3 - 32 MA
EAST INDIA - W1 - W1 - 32 MA
EXPRESS - W1 - W1 - 32 MA
MEGA - W1 - W1 - 32 MA
DGFC - W2 - W2 - 32 MA
HARSH - W2 - W2 - 32 MA
SWASTIK - W2 - W2 - 32 MA
DGFC - E1 - E1 - 32 MA
EAST INDIA - E1 - E1 - 32 MA
KAPOOR - E1 - E1 - 32 MA
TRIMURTHI - E1 - E1 - 32 MA
KAPOOR - E2 - E2 - 32 MA
RCI - E2 - E2 - 32 MA
VARUNA - E2 - E2 - 32 MA
GBL - S1 - S1 - 18 FT
MEGA - S1 - S1 - 18 FT
RCI - S1 - S1 - 18 FT
ANAND - S1 - S1_1 - 32 MA
CHINNA - S1 - S1_1 - 32 MA
GBL - S1 - S1_1 - 18 FT
GBL - S1 - S1_1 - 32 MA
LGB - S1 - S1_1 - 32 MA
MEGA - S1 - S1_1 - 18 FT
RCI - S1 - S1_1 - 18 FT
GBL - S2 - S2 - 18 FT
GBL - S2 - S2 - 32 MA
EAST INDIA - S2 - S2 - 18 FT
EXPRESS - S2 - S2 - 32 MA
MEGA - S2 - S2_1 - 18 FT
MEGA - S2 - S2_1 - 32 MA
EXPRESS - S2 - S2_1 - 32 MA
EXPRESS - S3 - S3 - 32 MA
GBL - S3 - S3 - 18 FT
GBL - S3 - S3 - 32 MA
MEGA - S3 - S3 - 32 MA

