ClubPlant,Cluster,SubCluster,Operator,TruckType,Part,Demand,Plant,PlantDemand
1150/1180,E3,E3,DGFC,32 MA,SG1,3,1150,2
1150/1180,E3,E3,DGFC,32 MA,SG1,3,1180,1
1150/1180,E3,E3,DGFC,32 MA,SG2,3,1150,2
1150/1180,E3,E3,KAPOOR,32 MA,SG1,2,1150,2
1150/1180,E3,E3,KAPOOR,32 MA,SG1,2,1180,1
1150/1180,E3,E3,KAPOOR,32 MA,SG2,2,1150,1
1150/1180,E3,E3,KTC,32 MA,SG1,2,1150,2
1150/1180,E3,E3,KTC,32 MA,SG2,1,1150,1
1150/1180,E3,E3,NCS,32 MA,SG1,2,1150,2
1150/1180,E3,E3,NCS,32 MA,SG2,1,1150,1
1150/1180,E3,E3,TRIMURTHI,32 MA,SG1,1,1150,2
1150/1180,E3,E3,VARUNA,32 MA,SG1,3,1150,2
1150/1180,E3,E3,VARUNA,32 MA,SG2,2,1150,1
1150/1180,E4,E4,ANAND,32 MA,SG1,3,1150,2
1150/1180,E4,E4,ANAND,32 MA,SG1,3,1180,1
1150/1180,E4,E4,ANAND,32 MA,SG2,3,1150,2
1150/1180,E4,E4,KAPOOR,32 MA,SG1,3,1150,2
1150/1180,E4,E4,KAPOOR,32 MA,SG1,3,1180,1
1150/1180,E4,E4,KAPOOR,32 MA,SG2,4,1150,3
1150/1180,E4,E4,KTC,32 MA,SG1,1,1150,2
1150/1180,E4,E4,KTC,32 MA,SG1,1,1180,1
1150/1180,E4,E4,KTC,32 MA,SG2,2,1150,2
1150/1180,E4,E4,NCS,32 MA,SG1,3,1150,2
1150/1180,E4,E4,NCS,32 MA,SG2,1,1150,2
1150/1180,E4,E4,RCI,32 MA,SG1,1,1150,2
1150/1180,E4,E4,VARUNA,32 MA,SG1,4,1150,3
1150/1180,E4,E4,VARUNA,32 MA,SG2,2,1150,2
1150/1180,N4,N4,COSMO,32 MA,SG1,2,1150,2
1150/1180,N4,N4,COSMO,32 MA,SG1,2,1180,2
1150/1180,N4,N4,COSMO,32 MA,SG2,1,1150,2
1150/1180,N4,N4,COSMO,32 MA,SG2,1,1180,2
1150/1180,N4,N4,DBRC,32 MA,SG1,2,1150,2
1150/1180,N4,N4,DBRC,32 MA,SG1,2,1180,2
1150/1180,N4,N4,DBRC,32 MA,SG2,2,1150,1
1150/1180,N4,N4,DBRC,32 MA,SG2,2,1180,1
1150/1180,N4,N4,EXPRESS,32 MA,SG1,4,1150,2
1150/1180,N4,N4,EXPRESS,32 MA,SG1,4,1180,2
1150/1180,N4,N4,EXPRESS,32 MA,SG2,5,1150,2
1150/1180,N4,N4,EXPRESS,32 MA,SG2,5,1180,2
1150/1180,N4,N4,LGB,32 MA,SG1,5,1150,2
1150/1180,N4,N4,LGB,32 MA,SG1,5,1180,2
1150/1180,N4,N4,LGB,32 MA,SG2,3,1150,1
1150/1180,N4,N4,LGB,32 MA,SG2,3,1180,1
1150/1180,N4,N4,RCI,32 MA,SG1,7,1150,3
1150/1180,N4,N4,RCI,32 MA,SG1,7,1180,3
1150/1180,N4,N4,RCI,32 MA,SG2,6,1150,3
1150/1180,N4,N4,RCI,32 MA,SG2,6,1180,2
1150/1180,N4,N4,VARUNA,32 MA,SG1,7,1150,3
1150/1180,N4,N4,VARUNA,32 MA,SG1,7,1180,3
1150/1180,N4,N4,VARUNA,32 MA,SG2,6,1150,3
1150/1180,N4,N4,VARUNA,32 MA,SG2,6,1180,2
1150/1180,N4,N4,LGB,32 SA,SG1,2,1180,2
1150/1180,N4,N4,LGB,32 SA,SG2,2,1180,2
1150/1180,N4,N4,RCI,32 SA,SG1,3,1180,3
1150/1180,N4,N4,RCI,32 SA,SG2,1,1180,1
1150/1180,N4,N4,VARUNA,32 SA,SG1,2,1180,2
1150/1180,N4,N4,VARUNA,32 SA,SG2,2,1180,2
1150/1180,N4,N4_1,DBRC,32 MA,SG1,2,1150,2
1150/1180,N4,N4_1,EXPRESS,32 MA,SG1,1,1150,1
1150/1180,N4,N4_1,EXPRESS,32 MA,SG2,2,1150,2
1150/1180,N4,N4_1,LGB,32 MA,SG1,1,1150,1
1150/1180,N4,N4_1,LGB,32 MA,SG2,2,1150,2
1150/1180,N4,N4_1,RCI,32 MA,SG1,2,1150,2
1150/1180,N4,N4_1,RCI,32 MA,SG2,1,1150,1
1150/1180,N4,N4_1,VARUNA,32 MA,SG1,2,1150,2
1150/1180,N4,N4_1,VARUNA,32 MA,SG2,1,1150,1
1150/1180,N5,N5,DBRC,32 MA,SG1,2,1150,2
1150/1180,N5,N5,DBRC,32 MA,SG1,2,1180,1
1150/1180,N5,N5,DBRC,32 MA,SG2,1,1150,2
1150/1180,N5,N5,DBRC,32 MA,SG2,1,1180,1
1150/1180,N5,N5,DRS,32 MA,SG1,3,1150,2
1150/1180,N5,N5,DRS,32 MA,SG1,3,1180,1
1150/1180,N5,N5,DRS,32 MA,SG2,3,1150,2
1150/1180,N5,N5,DRS,32 MA,SG2,3,1180,1
1150/1180,N5,N5,LGB,32 MA,SG1,3,1150,2
1150/1180,N5,N5,LGB,32 MA,SG1,3,1180,1
1150/1180,N5,N5,LGB,32 MA,SG2,2,1150,2
1150/1180,N5,N5,RCI,32 MA,SG1,4,1150,2
1150/1180,N5,N5,RCI,32 MA,SG1,4,1180,1
1150/1180,N5,N5,RCI,32 MA,SG2,3,1150,2
1150/1180,N5,N5,VARUNA,32 MA,SG1,3,1150,2
1150/1180,N5,N5,VARUNA,32 MA,SG1,3,1180,1
1150/1180,N5,N5,VARUNA,32 MA,SG2,3,1150,2
1150/1180,N5,N5,LGB,32 SA,SG1,2,1150,1
1150/1180,N5,N5,LGB,32 SA,SG1,2,1180,1
1150/1180,N5,N5,LGB,32 SA,SG2,2,1180,1
1150/1180,N5,N5,RCI,32 SA,SG1,1,1150,1
1150/1180,N5,N5,RCI,32 SA,SG1,1,1180,1
1150/1180,N5,N5,VARUNA,32 SA,SG1,1,1150,1
1150/1180,N5,N5,VARUNA,32 SA,SG1,1,1180,1
1150/1180,N6,N6,DBRC,32 MA,SG1,2,1150,2
1150/1180,N6,N6,DBRC,32 MA,SG1,2,1180,1
1150/1180,N6,N6,DBRC,32 MA,SG2,2,1150,2
1150/1180,N6,N6,DBRC,32 MA,SG2,2,1180,1
1150/1180,N6,N6,DRS,32 MA,SG1,3,1150,2
1150/1180,N6,N6,DRS,32 MA,SG1,3,1180,1
1150/1180,N6,N6,DRS,32 MA,SG2,2,1150,2
1150/1180,N6,N6,DRS,32 MA,SG2,2,1180,1
1150/1180,N6,N6,LGB,32 MA,SG1,3,1150,2
1150/1180,N6,N6,LGB,32 MA,SG1,3,1180,1
1150/1180,N6,N6,LGB,32 MA,SG2,2,1150,1
1150/1180,N6,N6,LGB,32 MA,SG2,2,1180,1
1150/1180,N6,N6,RCI,32 MA,SG1,4,1150,2
1150/1180,N6,N6,RCI,32 MA,SG1,4,1180,1
1150/1180,N6,N6,RCI,32 MA,SG2,3,1150,1
1150/1180,N6,N6,RCI,32 MA,SG2,3,1180,1
1150/1180,N6,N6,VARUNA,32 MA,SG1,3,1150,2
1150/1180,N6,N6,VARUNA,32 MA,SG1,3,1180,1
1150/1180,N6,N6,VARUNA,32 MA,SG2,2,1150,1
1150/1180,N6,N6,LGB,32 SA,SG1,1,1150,1
1150/1180,N6,N6,LGB,32 SA,SG2,1,1150,1
1150/1180,N6,N6,RCI,32 SA,SG1,1,1150,1
1150/1180,N6,N6,VARUNA,32 SA,SG1,1,1150,1
1150/1180,S6,S6,KTC,18 FT,SG1,10,1150,8
1150/1180,S6,S6,KTC,18 FT,SG1,10,1180,1
1150/1180,S6,S6,KTC,18 FT,SG2,8,1150,6
1150/1180,S6,S6,KTC,18 FT,SG2,8,1180,1
1150/1180,S6,S6,RCI,18 FT,SG1,3,1150,3
1150/1180,S6,S6,RCI,18 FT,SG1,3,1180,1
1150/1180,S6,S6,RCI,18 FT,SG2,2,1150,2
1150/1180,S6,S6,RCI,18 FT,SG2,2,1180,1
1150/1180,S6,S6,EXPRESS,32 MA,SG1,9,1150,8
1150/1180,S6,S6,EXPRESS,32 MA,SG1,9,1180,1
1150/1180,S6,S6,EXPRESS,32 MA,SG2,8,1150,8
1150/1180,S6,S6,EXPRESS,32 MA,SG2,8,1180,1
1150/1180,S6,S6,COSMO,32 MA,SG1,11,1150,10
1150/1180,S6,S6,COSMO,32 MA,SG1,11,1180,1
1150/1180,S6,S6,COSMO,32 MA,SG2,9,1150,8
1150/1180,S6,S6_1,KTC,18 FT,SG1,20,1150,18
1150/1180,S6,S6_1,KTC,18 FT,SG1,20,1180,1
1150/1180,S6,S6_1,KTC,18 FT,SG2,15,1150,13
1150/1180,S6,S6_1,KTC,18 FT,SG2,15,1180,1
1150/1180,S6,S6_1,MEGA,18 FT,SG1,3,1150,4
1150/1180,S6,S6_1,MEGA,18 FT,SG1,3,1180,1
1150/1180,S6,S6_1,MEGA,18 FT,SG2,3,1150,4
1150/1180,S6,S6_1,RCI,18 FT,SG1,9,1150,8
1150/1180,S6,S6_1,RCI,18 FT,SG1,9,1180,1
1150/1180,S6,S6_1,RCI,18 FT,SG2,8,1150,7
1150/1180,S7,S7,KTC,18 FT,SG1,8,1150,6
1150/1180,S7,S7,KTC,18 FT,SG1,8,1180,2
1150/1180,S7,S7,KTC,18 FT,SG2,6,1150,5
1150/1180,S7,S7,KTC,18 FT,SG2,6,1180,1
1150/1180,S7,S7,EXPRESS,32 MA,SG1,3,1150,3
1150/1180,S7,S7,EXPRESS,32 MA,SG2,3,1150,3
1150/1180,S7,S7,GBL,32 MA,SG1,1,1150,1
1150/1180,S7,S7,VARUNA,32 MA,SG1,1,1150,1
1150/1180,S7,S7_1,KTC,18 FT,SG1,4,1150,2
1150/1180,S7,S7_1,KTC,18 FT,SG1,4,1180,2
1150/1180,S7,S7_1,KTC,18 FT,SG2,3,1150,2
1150/1180,S7,S7_1,KTC,18 FT,SG2,3,1180,1
1150/1180,S7,S7_1,MEGA,32 MA,SG1,4,1150,4
1150/1180,S7,S7_1,MEGA,32 MA,SG2,2,1150,2
1150/1180,S8,S8,GBL,18 FT,SG1,6,1150,2
1150/1180,S8,S8,GBL,18 FT,SG1,6,1180,4
1150/1180,S8,S8,GBL,18 FT,SG2,4,1150,2
1150/1180,S8,S8,GBL,18 FT,SG2,4,1180,4
1150/1180,S8,S8,KTC,18 FT,SG1,19,1150,6
1150/1180,S8,S8,KTC,18 FT,SG1,19,1180,12
1150/1180,S8,S8,KTC,18 FT,SG2,16,1150,5
1150/1180,S8,S8,KTC,18 FT,SG2,16,1180,10
1150/1180,S8,S8,ANAND,32 MA,SG1,2,1150,3
1150/1180,S8,S8,ANAND,32 MA,SG1,2,1180,1
1150/1180,S8,S8,ANAND,32 MA,SG2,1,1150,2
1150/1180,S8,S8,EXPRESS,32 MA,SG1,5,1150,4
1150/1180,S8,S8,EXPRESS,32 MA,SG1,5,1180,1
1150/1180,S8,S8,EXPRESS,32 MA,SG2,5,1150,4
1150/1180,S8,S8,LGB,32 MA,SG1,2,1150,3
1150/1180,S8,S8,LGB,32 MA,SG1,2,1180,1
1150/1180,S8,S8,LGB,32 MA,SG2,2,1150,2
1150/1180,S8,S8,MEGA,32 MA,SG1,4,1150,3
1150/1180,S8,S8,MEGA,32 MA,SG1,4,1180,1
1150/1180,S8,S8,MEGA,32 MA,SG2,3,1150,2
1150/1180,S8,S8,RCI,32 MA,SG1,8,1150,6
1150/1180,S8,S8,RCI,32 MA,SG1,8,1180,1
1150/1180,S8,S8,RCI,32 MA,SG2,7,1150,5
1150/1180,S8,S8,RCI,32 MA,SG2,7,1180,1
1150/1180,S8,S8,VARUNA,32 MA,SG1,3,1150,2
1150/1180,S8,S8,VARUNA,32 MA,SG1,3,1180,1
1150/1180,S8,S8,VARUNA,32 MA,SG2,3,1150,2
1150/1180,W3,W3,APML,32 MA,SG1,2,1150,2
1150/1180,W3,W3,APML,32 MA,SG1,2,1180,1
1150/1180,W3,W3,APML,32 MA,SG2,1,1150,2
1150/1180,W3,W3,DGFC,32 MA,SG1,3,1150,2
1150/1180,W3,W3,DGFC,32 MA,SG1,3,1180,1
1150/1180,W3,W3,DGFC,32 MA,SG2,3,1150,2
1150/1180,W3,W3,EAST INDIA,32 MA,SG1,2,1150,2
1150/1180,W3,W3,EAST INDIA,32 MA,SG1,2,1180,1
1150/1180,W3,W3,EAST INDIA,32 MA,SG2,2,1150,2
1150/1180,W3,W3,EXPRESS,32 MA,SG1,5,1150,4
1150/1180,W3,W3,EXPRESS,32 MA,SG1,5,1180,1
1150/1180,W3,W3,EXPRESS,32 MA,SG2,5,1150,4
1150/1180,W3,W3,MEGA,32 MA,SG1,4,1150,3
1150/1180,W3,W3,MEGA,32 MA,SG1,4,1180,1
1150/1180,W3,W3,MEGA,32 MA,SG2,2,1150,2
1150/1180,W3,W3,RCI,32 MA,SG1,3,1150,2
1150/1180,W3,W3,RCI,32 MA,SG1,3,1180,1
1150/1180,W3,W3,RCI,32 MA,SG2,2,1150,1
1150/1180,W3,W3,SWASTIK,32 MA,SG1,2,1150,2
1150/1180,W3,W3,SWASTIK,32 MA,SG2,1,1150,1
1150/1180,W3,W3_1,APML,32 MA,SG1,1,1150,2
1150/1180,W3,W3_1,APML,32 MA,SG1,1,1180,1
1150/1180,W3,W3_1,APML,32 MA,SG2,1,1150,1
1150/1180,W3,W3_1,DGFC,32 MA,SG1,1,1150,2
1150/1180,W3,W3_1,DGFC,32 MA,SG1,1,1180,1
1150/1180,W3,W3_1,DGFC,32 MA,SG2,2,1150,1
1150/1180,W3,W3_1,EAST INDIA,32 MA,SG1,1,1150,2
1150/1180,W3,W3_1,EAST INDIA,32 MA,SG1,1,1180,1
1150/1180,W3,W3_1,EAST INDIA,32 MA,SG2,2,1150,1
1150/1180,W3,W3_1,EXPRESS,32 MA,SG1,4,1150,3
1150/1180,W3,W3_1,EXPRESS,32 MA,SG2,2,1150,1
1150/1180,W3,W3_1,MEGA,32 MA,SG1,1,1150,1
1150/1180,W3,W3_1,RCI,32 MA,SG1,3,1150,2
1150/1180,W3,W3_1,RCI,32 MA,SG2,2,1150,1
1150/1180,W3,W3_1,SWASTIK,32 MA,SG1,1,1150,1
1150/1180,W4,W4,RCI,32 MA,SG1,9,1150,7
1150/1180,W4,W4,RCI,32 MA,SG1,9,1180,1
1150/1180,W4,W4,RCI,32 MA,SG2,7,1150,6
1150/1180,W4,W4,RCI,32 MA,SG2,7,1180,1
1150/1180,W4,W4,SWASTIK,32 MA,SG1,5,1150,4
1150/1180,W4,W4,SWASTIK,32 MA,SG1,5,1180,1
1150/1180,W4,W4,SWASTIK,32 MA,SG2,4,1150,3
1150/1180,W4,W4,TRUE FREIGHT,32 MA,SG1,3,1150,3
1150/1180,W4,W4,TRUE FREIGHT,32 MA,SG1,3,1180,1
1150/1180,W4,W4,TRUE FREIGHT,32 MA,SG2,2,1150,3
1170/1190,E1,E1,DGFC,32 MA,SG1,9,1170,7
1170/1190,E1,E1,DGFC,32 MA,SG1,9,1190,1
1170/1190,E1,E1,DGFC,32 MA,SG2,8,1170,7
1170/1190,E1,E1,DGFC,32 MA,SG2,8,1190,1
1170/1190,E1,E1,EAST INDIA,32 MA,SG1,3,1170,3
1170/1190,E1,E1,EAST INDIA,32 MA,SG1,3,1190,1
1170/1190,E1,E1,EAST INDIA,32 MA,SG2,1,1170,3
1170/1190,E1,E1,KAPOOR,32 MA,SG1,8,1170,7
1170/1190,E1,E1,KAPOOR,32 MA,SG1,8,1190,1
1170/1190,E1,E1,KAPOOR,32 MA,SG2,5,1170,4
1170/1190,E1,E1,TRIMURTHI,32 MA,SG1,4,1170,3
1170/1190,E1,E1,TRIMURTHI,32 MA,SG1,4,1190,1
1170/1190,E1,E1,TRIMURTHI,32 MA,SG2,4,1170,3
1170/1190,E2,E2,KAPOOR,32 MA,SG1,3,1170,2
1170/1190,E2,E2,KAPOOR,32 MA,SG1,3,1190,1
1170/1190,E2,E2,KAPOOR,32 MA,SG2,4,1170,2
1170/1190,E2,E2,KAPOOR,32 MA,SG2,4,1190,1
1170/1190,E2,E2,RCI,32 MA,SG1,2,1170,1
1170/1190,E2,E2,RCI,32 MA,SG1,2,1190,1
1170/1190,E2,E2,VARUNA,32 MA,SG1,1,1170,1
1170/1190,E2,E2,VARUNA,32 MA,SG1,1,1190,1
1170/1190,N1,N1,AVG,32 MA,SG2,1,1190,1
1170/1190,N1,N1,COSMO,32 MA,SG1,1,1190,1
1170/1190,N1,N1,DBRC,32 MA,SG1,1,1190,1
1170/1190,N1,N1_1,AVG,32 MA,SG1,1,1170,2
1170/1190,N1,N1_1,AVG,32 MA,SG1,1,1190,1
1170/1190,N1,N1_1,AVG,32 MA,SG2,1,1170,1
1170/1190,N1,N1_1,COSMO,32 MA,SG1,2,1170,2
1170/1190,N1,N1_1,COSMO,32 MA,SG2,2,1170,1
1170/1190,N1,N1_1,DBRC,32 MA,SG1,1,1170,2
1170/1190,N1,N1_1,DBRC,32 MA,SG2,1,1170,1
1170/1190,N1,N1_1,EAST INDIA,32 MA,SG1,1,1170,2
1170/1190,N1,N1_1,EAST INDIA,32 MA,SG2,2,1170,1
1170/1190,N1,N1_1,LGB,32 MA,SG1,1,1170,2
1170/1190,N1,N1_1,RCI,32 MA,SG1,4,1170,3
1170/1190,N1,N1_1,RCI,32 MA,SG2,2,1170,1
1170/1190,N1,N1_1,SWASTIK,32 MA,SG1,4,1170,3
1170/1190,N1,N1_1,SWASTIK,32 MA,SG2,2,1170,1
1170/1190,N1,N1_1,VARUNA,32 MA,SG1,1,1170,2
1170/1190,N1,N1_1,VARUNA,32 MA,SG2,1,1170,1
1170/1190,N2,N2,DBRC,32 MA,SG1,1,1170,1
1170/1190,N2,N2,DBRC,32 MA,SG1,1,1190,1
1170/1190,N2,N2,DRS,32 MA,SG1,3,1170,1
1170/1190,N2,N2,DRS,32 MA,SG1,3,1190,1
1170/1190,N2,N2,DRS,32 MA,SG2,1,1170,1
1170/1190,N2,N2,DRS,32 MA,SG2,1,1190,1
1170/1190,N2,N2,RCI,32 MA,SG1,2,1170,1
1170/1190,N2,N2,RCI,32 MA,SG1,2,1190,1
1170/1190,N2,N2,RCI,32 MA,SG2,2,1190,1
1170/1190,N2,N2,VARUNA,32 MA,SG1,1,1170,1
1170/1190,N2,N2,VARUNA,32 MA,SG1,1,1190,1
1170/1190,N3,N3,DBRC,32 MA,SG1,1,1170,1
1170/1190,N3,N3,DBRC,32 MA,SG1,1,1190,1
1170/1190,N3,N3,DBRC,32 MA,SG2,2,1170,1
1170/1190,N3,N3,DBRC,32 MA,SG2,2,1190,1
1170/1190,N3,N3,DRS,32 MA,SG1,2,1170,1
1170/1190,N3,N3,DRS,32 MA,SG1,2,1190,1
1170/1190,N3,N3,DRS,32 MA,SG2,1,1170,1
1170/1190,N3,N3,LGB,32 MA,SG1,3,1170,1
1170/1190,N3,N3,LGB,32 MA,SG1,3,1190,1
1170/1190,N3,N3,LGB,32 MA,SG2,2,1170,1
1170/1190,N3,N3,RCI,32 MA,SG1,1,1170,1
1170/1190,N3,N3,RCI,32 MA,SG1,1,1190,1
1170/1190,S1,S1,GBL,18 FT,SG1,18,1170,2
1170/1190,S1,S1,GBL,18 FT,SG1,18,1190,15
1170/1190,S1,S1,GBL,18 FT,SG2,15,1170,2
1170/1190,S1,S1,GBL,18 FT,SG2,15,1190,12
1170/1190,S1,S1,MEGA,18 FT,SG1,2,1170,1
1170/1190,S1,S1,MEGA,18 FT,SG1,2,1190,2
1170/1190,S1,S1,MEGA,18 FT,SG2,1,1190,1
1170/1190,S1,S1,RCI,18 FT,SG1,1,1170,1
1170/1190,S1,S1,RCI,18 FT,SG1,1,1190,1
1170/1190,S1,S1_1,GBL,18 FT,SG1,1,1190,1
1170/1190,S1,S1_1,ANAND,32 MA,SG1,1,1170,2
1170/1190,S1,S1_1,ANAND,32 MA,SG1,1,1190,1
1170/1190,S1,S1_1,ANAND,32 MA,SG2,2,1170,1
1170/1190,S1,S1_1,ANAND,32 MA,SG2,2,1190,1
1170/1190,S1,S1_1,CHINNA,32 MA,SG1,2,1170,2
1170/1190,S1,S1_1,CHINNA,32 MA,SG1,2,1190,1
1170/1190,S1,S1_1,CHINNA,32 MA,SG2,1,1170,1
1170/1190,S1,S1_1,CHINNA,32 MA,SG2,1,1190,1
1170/1190,S1,S1_1,GBL,32 MA,SG1,9,1170,4
1170/1190,S1,S1_1,GBL,32 MA,SG1,9,1190,4
1170/1190,S1,S1_1,GBL,32 MA,SG2,6,1170,2
1170/1190,S1,S1_1,GBL,32 MA,SG2,6,1190,3
1170/1190,S1,S1_1,LGB,32 MA,SG1,4,1170,1
1170/1190,S1,S1_1,LGB,32 MA,SG1,4,1190,2
1170/1190,S1,S1_1,LGB,32 MA,SG2,4,1170,1
1170/1190,S1,S1_1,LGB,32 MA,SG2,4,1190,2
1170/1190,S2,S2,GBL,18 FT,SG1,8,1170,4
1170/1190,S2,S2,GBL,18 FT,SG1,8,1190,4
1170/1190,S2,S2,GBL,18 FT,SG2,8,1170,4
1170/1190,S2,S2,GBL,18 FT,SG2,8,1190,4
1170/1190,S2,S2,EAST INDIA,18 FT,SG1,2,1170,1
1170/1190,S2,S2,EAST INDIA,18 FT,SG1,2,1190,1
1170/1190,S2,S2,GBL,32 MA,SG1,5,1170,1
1170/1190,S2,S2,GBL,32 MA,SG1,5,1190,4
1170/1190,S2,S2,GBL,32 MA,SG2,4,1190,3
1170/1190,S2,S2,EXPRESS,32 MA,SG1,1,1190,2
1170/1190,S2,S2_1,MEGA,18 FT,SG1,3,1190,3
1170/1190,S2,S2_1,MEGA,18 FT,SG2,2,1190,2
1170/1190,S2,S2_1,MEGA,32 MA,SG1,2,1190,2
1170/1190,S2,S2_1,MEGA,32 MA,SG2,1,1190,1
1170/1190,S2,S2_1,EXPRESS,32 MA,SG1,2,1190,2
1170/1190,S2,S2_1,EXPRESS,32 MA,SG2,1,1190,1
1170/1190,S3,S3,GBL,18 FT,SG1,4,1170,2
1170/1190,S3,S3,GBL,18 FT,SG1,4,1190,2
1170/1190,S3,S3,GBL,18 FT,SG2,3,1170,1
1170/1190,S3,S3,GBL,18 FT,SG2,3,1190,2
1170/1190,S3,S3,EXPRESS,32 MA,SG1,2,1170,1
1170/1190,S3,S3,EXPRESS,32 MA,SG1,2,1190,1
1170/1190,S3,S3,EXPRESS,32 MA,SG2,1,1170,1
1170/1190,S3,S3,EXPRESS,32 MA,SG2,1,1190,1
1170/1190,S3,S3,GBL,32 MA,SG1,2,1170,1
1170/1190,S3,S3,GBL,32 MA,SG1,2,1190,1
1170/1190,W1,W1,EAST INDIA,32 MA,SG1,2,1170,2
1170/1190,W1,W1,EAST INDIA,32 MA,SG1,2,1190,3
1170/1190,W1,W1,EAST INDIA,32 MA,SG2,2,1170,1
1170/1190,W1,W1,EAST INDIA,32 MA,SG2,2,1190,2
1170/1190,W1,W1,EXPRESS,32 MA,SG1,9,1170,3
1170/1190,W1,W1,EXPRESS,32 MA,SG1,9,1190,5
1170/1190,W1,W1,EXPRESS,32 MA,SG2,7,1170,2
1170/1190,W1,W1,EXPRESS,32 MA,SG2,7,1190,4
1170/1190,W1,W1,MEGA,32 MA,SG1,5,1170,1
1170/1190,W1,W1,MEGA,32 MA,SG1,5,1190,3
1170/1190,W1,W1,MEGA,32 MA,SG2,4,1170,1
1170/1190,W1,W1,MEGA,32 MA,SG2,4,1190,2
1170/1190,W2,W2,DGFC,32 MA,SG1,1,1170,2
1170/1190,W2,W2,DGFC,32 MA,SG1,1,1190,1
1170/1190,W2,W2,DGFC,32 MA,SG2,1,1170,1
1170/1190,W2,W2,DGFC,32 MA,SG2,1,1190,1
1170/1190,W2,W2,HARSH,32 MA,SG1,4,1170,2
1170/1190,W2,W2,HARSH,32 MA,SG1,4,1190,1
1170/1190,W2,W2,HARSH,32 MA,SG2,3,1170,1
1170/1190,W2,W2,HARSH,32 MA,SG2,3,1190,1
1170/1190,W2,W2,SWASTIK,32 MA,SG1,2,1170,1
1170/1190,W2,W2,SWASTIK,32 MA,SG1,2,1190,1
1170/1190,W2,W2,SWASTIK,32 MA,SG2,2,1170,1
